# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000000455e+02 1.188724647857791439e+02
8.822743488831756622e+02 3.792000000000000455e+02 1.188724647857791439e+02
1.137599999999999909e+03 3.792000000000002160e+02 1.188724647857791439e+02
1.643199999999999818e+03 3.792000000000000455e+02 1.188724647857791439e+02
1.895999999999999773e+03 3.792000000000000455e+02 1.188724647857791439e+02
3.792000000000001592e+02 6.320000000000001137e+02 1.188724647857791439e+02
9.025447802296725968e+02 6.323030715747253225e+02 1.188724647857791439e+02
1.390399999999999864e+03 3.792000000000001023e+02 1.188724647857791439e+02
1.896000000000000000e+03 8.848566598120717117e+02 1.188724647857791439e+02
1.896000000000000000e+03 6.320566598120717572e+02 1.188724647857791439e+02
3.791999999999999318e+02 1.143689389347350016e+03 1.188724647857791439e+02
3.792000000000001592e+02 8.851889897090716204e+02 1.188724647857791439e+02
1.049669083988070042e+03 1.054844672620384017e+03 1.188724647857791439e+02
1.896000000000000000e+03 1.137656659812071666e+03 1.188724647857791439e+02
1.892215419734265197e+03 1.390428329906035742e+03 1.188724647857791439e+02
3.791999999999999886e+02 1.643200000000000045e+03 1.188724647857791439e+02
6.807007876048669459e+02 1.650986369452799408e+03 1.188724647857791439e+02
1.089748782759124651e+03 1.584440944271191711e+03 1.188724647857791439e+02
1.488552191429628920e+03 1.647496039910247646e+03 1.188724647857791439e+02
1.896000000000000000e+03 1.643200000000000045e+03 1.188724647857791439e+02
3.792000000000001023e+02 1.896000000000000000e+03 1.188724647857791439e+02
7.429596159969846667e+02 1.896000000000000000e+03 1.188724647857791439e+02
1.144337425111677476e+03 1.895999999999999773e+03 1.188724647857791439e+02
1.544160510721240144e+03 1.896000000000000000e+03 1.188724647857791439e+02
1.895999999999999773e+03 1.896000000000000000e+03 1.188724647857791439e+02
