# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000000455e+02 1.260971033952966707e+02
7.132800293400732699e+02 3.792000000000000455e+02 1.260971033953147753e+02
1.005230475433398965e+03 3.791999999999998749e+02 1.260971033952966707e+02
1.258030475433398806e+03 3.791999999999999886e+02 1.260971033953147753e+02
1.643200000000000045e+03 3.792000000000002160e+02 1.260971033952966707e+02
3.792000000000000455e+02 6.802532395683806499e+02 1.260971033953147753e+02
7.646797583463562660e+02 6.333290564480475950e+02 1.260971033952966707e+02
1.316362254101379449e+03 7.507423256692637779e+02 1.260971033953147753e+02
1.705524026213325897e+03 6.241970533421659866e+02 1.260971033952966707e+02
1.896000000000000000e+03 3.792000000000001023e+02 1.260971033953147753e+02
3.792000000000001023e+02 9.686511509768868109e+02 1.260971033952966707e+02
9.946632538985062411e+02 1.235068830427289640e+03 1.260971033953147753e+02
1.082326256504982211e+03 1.649316694017056989e+03 1.260971033952966707e+02
1.646748385794221804e+03 1.303599603988288209e+03 1.260971033953147753e+02
1.414875972798914518e+03 1.479896063056617322e+03 1.260971033952966707e+02
3.791999999999998181e+02 1.304305791580903133e+03 1.260971033953147753e+02
8.848000000000000682e+02 1.896000000000000000e+03 1.260971033952966707e+02
1.137600000000000136e+03 1.896000000000000000e+03 1.260971033953147753e+02
1.895999999999999773e+03 1.643200000000000045e+03 1.260971033952966707e+02
1.896000000000000000e+03 1.004667118527306116e+03 1.260971033953147753e+02
3.792000000000000455e+02 1.896000000000000000e+03 1.260971033952966707e+02
6.320000000000000000e+02 1.896000000000000000e+03 1.260971033953147753e+02
1.502931547525556198e+03 1.896000000000000000e+03 1.260971033952966707e+02
1.895999999999999773e+03 1.896000000000000000e+03 1.260971033953147753e+02
1.896000000000000000e+03 1.261392106224465351e+03 1.260971033952966707e+02
