# turbineX, turbineY, turbineZ
3.792000000000001023e+02 4.137673850772912374e+02 9.000000000000000000e+01
7.153285112449221970e+02 3.792000000000000455e+02 9.000000000000000000e+01
9.883695251823731951e+02 3.791999999999999886e+02 9.000000000000000000e+01
1.493969525182372990e+03 3.792000000000002728e+02 9.000000000000000000e+01
1.896000000000000000e+03 3.792000000000002728e+02 9.000000000000000000e+01
3.792000000000000455e+02 8.823652621747949070e+02 9.000000000000000000e+01
7.460709473838559234e+02 6.301238058515764351e+02 9.000000000000000000e+01
1.241169525182373036e+03 3.791999999999999318e+02 9.000000000000000000e+01
1.895999944668671787e+03 8.848000000000001819e+02 9.000000000000000000e+01
1.895999999999999773e+03 6.320000000000002274e+02 9.000000000000000000e+01
3.792000000000000455e+02 1.180764042481954675e+03 9.000000000000000000e+01
7.995494133980981815e+02 1.114566940840419647e+03 9.000000000000000000e+01
1.169884590940479256e+03 1.189091035635783328e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.137600000000000136e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.390400000000000091e+03 9.000000000000000000e+01
3.792000000000000455e+02 1.643200000000000045e+03 9.000000000000000000e+01
7.353826780853856917e+02 1.896000000000000000e+03 9.000000000000000000e+01
1.222134442989475019e+03 1.645837813067096022e+03 9.000000000000000000e+01
1.483944795032610500e+03 1.126352153501527937e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.643200000000000045e+03 9.000000000000000000e+01
3.792000000000000455e+02 1.896000000000000000e+03 9.000000000000000000e+01
9.881826780853857599e+02 1.896000000000000000e+03 9.000000000000000000e+01
1.258558614068348106e+03 1.896000000000000000e+03 9.000000000000000000e+01
1.631709219123125649e+03 1.896000000000000000e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.896000000000000000e+03 9.000000000000000000e+01
