# turbineX, turbineY, turbineZ
8.216000000000000227e+02 8.216000000000000227e+02 9.000000000000000000e+01
1.643200000000000045e+03 8.216000000000000227e+02 9.000000000000000000e+01
2.464800000000000182e+03 8.216000000000000227e+02 9.000000000000000000e+01
3.286400000000000091e+03 8.216000000000000227e+02 9.000000000000000000e+01
4.108000000000000000e+03 8.216000000000000227e+02 9.000000000000000000e+01
8.216000000000000227e+02 1.643200000000000045e+03 9.000000000000000000e+01
1.643200000000000045e+03 1.643200000000000045e+03 9.000000000000000000e+01
2.464800000000000182e+03 1.643200000000000045e+03 9.000000000000000000e+01
3.286400000000000091e+03 1.643200000000000045e+03 9.000000000000000000e+01
4.108000000000000000e+03 1.643200000000000045e+03 9.000000000000000000e+01
8.216000000000000227e+02 2.464800000000000182e+03 9.000000000000000000e+01
1.643200000000000045e+03 2.464800000000000182e+03 9.000000000000000000e+01
2.464800000000000182e+03 2.464800000000000182e+03 9.000000000000000000e+01
3.286400000000000091e+03 2.464800000000000182e+03 9.000000000000000000e+01
4.108000000000000000e+03 2.464800000000000182e+03 9.000000000000000000e+01
8.216000000000000227e+02 3.286400000000000091e+03 9.000000000000000000e+01
1.643200000000000045e+03 3.286400000000000091e+03 9.000000000000000000e+01
2.464800000000000182e+03 3.286400000000000091e+03 9.000000000000000000e+01
3.286400000000000091e+03 3.286400000000000091e+03 9.000000000000000000e+01
4.108000000000000000e+03 3.286400000000000091e+03 9.000000000000000000e+01
8.216000000000000227e+02 4.108000000000000000e+03 9.000000000000000000e+01
1.643200000000000045e+03 4.108000000000000000e+03 9.000000000000000000e+01
2.464800000000000182e+03 4.108000000000000000e+03 9.000000000000000000e+01
3.286400000000000091e+03 4.108000000000000000e+03 9.000000000000000000e+01
4.108000000000000000e+03 4.108000000000000000e+03 9.000000000000000000e+01
