
# turbineX, turbineY, turbineZ
2.556474118161802664e+02 2.556474118161802664e+02 9.000000000000000000e+01
5.084474118161803631e+02 2.556474118161802664e+02 9.000000000000000000e+01
7.612474118161803744e+02 2.556474118161802664e+02 9.000000000000000000e+01
1.025437059080901463e+03 2.556474118161802664e+02 9.000000000000000000e+01
1.278237059080901417e+03 2.556474118161802664e+02 9.000000000000000000e+01
2.556474118161802664e+02 5.084474118161803631e+02 9.000000000000000000e+01
5.180625434342440485e+02 5.082646730769165515e+02 9.000000000000000000e+01
7.726371894218923444e+02 5.081907011075261948e+02 9.000000000000000000e+01
1.025437059080901463e+03 5.084474118161803631e+02 9.000000000000000000e+01
1.278237059080901417e+03 5.084474118161803631e+02 9.000000000000000000e+01
2.556474118161802664e+02 7.612474118161803744e+02 9.000000000000000000e+01
5.081907011075261948e+02 7.726371894218922307e+02 9.000000000000000000e+01
7.728939001305461716e+02 7.609905707665353702e+02 9.000000000000000000e+01
1.025693769789555517e+03 7.612472814751895385e+02 9.000000000000000000e+01
1.278237059080901417e+03 7.726370590809013947e+02 9.000000000000000000e+01
2.556474118161802664e+02 1.025437059080901463e+03 9.000000000000000000e+01
5.084474118161803631e+02 1.025437059080901463e+03 9.000000000000000000e+01
7.693156039187313127e+02 1.025458821416029195e+03 9.000000000000000000e+01
1.022115603918731608e+03 1.025458821416029195e+03 9.000000000000000000e+01
1.278237059080901417e+03 1.025437059080901463e+03 9.000000000000000000e+01
2.556474118161802664e+02 1.278237059080901417e+03 9.000000000000000000e+01
5.084474118161803631e+02 1.278237059080901417e+03 9.000000000000000000e+01
7.726370590809013947e+02 1.278237059080901417e+03 9.000000000000000000e+01
1.025437059080901463e+03 1.278237059080901417e+03 9.000000000000000000e+01
1.278237059080901417e+03 1.278237059080901417e+03 9.000000000000000000e+01
