#spacing just layout
9.100067404661641035e+01 1.501182200000000000e+07 8.000000000000000000e+00
7.787267047835516109e+01 1.501181900000000000e+07 8.000000000000000000e+00
7.018332323269518724e+01 1.501182200000000000e+07 4.000000000000000000e+00
6.534413526875441391e+01 1.501182100000000000e+07 8.000000000000000000e+00
6.242395500124449370e+01 1.501182200000000000e+07 6.000000000000000000e+00
6.052459426964809097e+01 1.501181800000000000e+07 4.000000000000000000e+00
5.905253462307654644e+01 1.501181900000000000e+07 6.000000000000000000e+00
5.759513381643179031e+01 1.501182100000000000e+07 3.000000000000000000e+00
5.690110912324746550e+01 1.501182200000000000e+07 4.000000000000000000e+00
5.606828827452676478e+01 1.501182200000000000e+07 6.000000000000000000e+00
5.554030769951445734e+01 1.501181900000000000e+07 3.000000000000000000e+00
5.501157043065872898e+01 1.501182100000000000e+07 2.000000000000000000e+00
5.478938162138020829e+01 1.501182000000000000e+07 9.000000000000000000e+00
5.435023735581172843e+01 1.501181900000000000e+07 1.000000000000000000e+00
5.412241551717258403e+01 1.501181900000000000e+07 7.000000000000000000e+00
5.386158734330485487e+01 1.501182100000000000e+07 4.000000000000000000e+00
5.354742440239114387e+01 1.501182200000000000e+07 4.000000000000000000e+00
