# ratedPower, rotorDiameter, ratedQ, blade_mass, Vrated, I1, I2, I3, ratedT, extremeT
5.000000000000000000e+02 4.000000000000000000e+01 1.404435985618092527e+05 1.648595683157962185e+03 1.157688526773281623e+01 4.429821553605511435e+05 2.130187737055981415e+05 1.750765540765087644e+05 8.478736560097770416e+04 2.219221228057234475e+04
5.000000000000000000e+02 4.200000000000000000e+01 1.474131140245513234e+05 1.684533489199526912e+03 1.120639046292361485e+01 5.073716185061637661e+05 2.439820175131876022e+05 2.005247243694968638e+05 8.640794534854173253e+04 2.268369002632821139e+04
5.000000000000000000e+02 4.400000000000000000e+01 1.549313112203547498e+05 1.746461618935820070e+03 1.086427627805962182e+01 5.815130724497690098e+05 2.796347439462923794e+05 2.298271017081586760e+05 8.902323921796117793e+04 2.350352830151031594e+04
5.000000000000000000e+02 4.600000000000000000e+01 1.631622243851362146e+05 1.829252273742696161e+03 1.054695376956770225e+01 6.665877810231057229e+05 3.205449925293377019e+05 2.634505482417104649e+05 9.151048470915449434e+04 2.456694119479621804e+04
5.000000000000000000e+02 4.800000000000000000e+01 1.720977142439347808e+05 1.929379466463258041e+03 1.025190604903628433e+01 7.641849448000637349e+05 3.674769691187572898e+05 3.020231519345230190e+05 9.382426613301337056e+04 2.580703810376366528e+04
5.000000000000000000e+02 5.000000000000000000e+01 1.809869366524472425e+05 2.045227735686445385e+03 9.976669452659585602e+00 8.748457914966151584e+05 4.206909362622784683e+05 3.457588182054410572e+05 9.613992896559285873e+04 2.721849093854021703e+04
5.000000000000000000e+02 5.200000000000000000e+01 1.900948224866498495e+05 2.176403254201190521e+03 9.719181090937716760e+00 9.999499971108136233e+05 4.808503448137561791e+05 3.952028261736306595e+05 9.838639153130113846e+04 2.879101467144872004e+04
5.000000000000000000e+02 5.400000000000000000e+01 1.992633639713762968e+05 2.321566955539508854e+03 9.477698529172231545e+00 1.142233723682590527e+06 5.492709450248717330e+05 4.514365688829182764e+05 1.005967372566885169e+05 3.047569449187139617e+04
5.000000000000000000e+02 5.600000000000000000e+01 2.081182155093085021e+05 2.477786097449579302e+03 9.250771543584367151e+00 1.301190810582023580e+06 6.257093372115084203e+05 5.142600002189769875e+05 1.028940390973476169e+05 3.226309771575815466e+04
5.000000000000000000e+02 5.800000000000000000e+01 2.171861327264310967e+05 2.645023825816344470e+03 9.036770693890929351e+00 1.477094465418947861e+06 7.102968999163678382e+05 5.837810980005487800e+05 1.051037851064976130e+05 3.416658197238005960e+04
