# turbineX, turbineY, turbineZ
3.918400000000000318e+02 3.918400000000000318e+02 1.326956709702463115e+02
7.575320813403113789e+02 3.918400000000000318e+02 1.275517837797978586e+02
1.159053305856290535e+03 3.918400000000000318e+02 1.326956709702463115e+02
1.682851673300775246e+03 3.918400000000000318e+02 1.275517837797978586e+02
1.959199999999999818e+03 3.918400000000000318e+02 1.326956709702463115e+02
3.918400000000000318e+02 6.740668587740477733e+02 1.275517837797978586e+02
8.023020887648737016e+02 6.406444532072455331e+02 1.326956709702463115e+02
1.191156438024360796e+03 6.425934116189999941e+02 1.275517837797978586e+02
1.697134700684579911e+03 7.171642080002089870e+02 1.326956709702463115e+02
1.959199999999999818e+03 7.593430147995921971e+02 1.275517837797978586e+02
3.918400000000000318e+02 1.087176976138372538e+03 1.326956709702463115e+02
7.609393147949980403e+02 1.174229439310653561e+03 1.275517837797978586e+02
1.174098728971109949e+03 1.158864792887239219e+03 1.326956709702463115e+02
1.716760669976333929e+03 1.244120509273033804e+03 1.275517837797978586e+02
1.959199999999999818e+03 1.172488860784050530e+03 1.326956709702463115e+02
3.918400000000000318e+02 1.590629400318434591e+03 1.275517837797978586e+02
6.437136633424256615e+02 1.612254260767282631e+03 1.326956709702463115e+02
1.141654112677938429e+03 1.709827083938072064e+03 1.275517837797978586e+02
1.575215333364674962e+03 1.708206821308680901e+03 1.326956709702463115e+02
1.950181362371356954e+03 1.664779262835328609e+03 1.275517837797978586e+02
3.918400000000000318e+02 1.959199999999999818e+03 1.326956709702463115e+02
6.636356858159120975e+02 1.959199999999999818e+03 1.275517837797978586e+02
1.183401587726778644e+03 1.959199999999999818e+03 1.326956709702463115e+02
1.605386007026748302e+03 1.959199999999999818e+03 1.275517837797978586e+02
1.959199999999999818e+03 1.959199999999999818e+03 1.326956709702463115e+02
