# turbineX, turbineY, turbineZ
3.792000000000001023e+02 3.792000000000001023e+02 7.320000000000000284e+01
7.365611703141096314e+02 3.792000000000000455e+02 1.291642814606355500e+02
9.893611703141096996e+02 3.792000000000000455e+02 7.320000000000000284e+01
1.521744550908963447e+03 3.792000000000000455e+02 1.291642814606355500e+02
1.896000000000000000e+03 3.792000000000001023e+02 7.320000000000000284e+01
3.792000000000000455e+02 6.320000000000001137e+02 1.291642814606355500e+02
7.837102736966899101e+02 6.275642529051254996e+02 7.320000000000000284e+01
1.234965351169388441e+03 4.390869501452498866e+02 1.291642814606355500e+02
1.594821645617178547e+03 6.212076690778748116e+02 7.320000000000000284e+01
1.896000000000000000e+03 6.320000000000001137e+02 1.291642814606355500e+02
3.791999999999999318e+02 8.848000000000001819e+02 7.320000000000000284e+01
8.537396411697828853e+02 1.128904283052522032e+03 1.291642814606355500e+02
8.328048553587173046e+02 1.565224332869529007e+03 7.320000000000000284e+01
1.713032895189403689e+03 1.269007671953567979e+03 1.291642814606355500e+02
1.896000000000000000e+03 1.094563119047064674e+03 7.320000000000000284e+01
3.791999999999998181e+02 1.177971606941882555e+03 1.291642814606355500e+02
3.792000000000001023e+02 1.456555436482713276e+03 7.320000000000000284e+01
1.138818706829883013e+03 1.896000000000000000e+03 1.291642814606355500e+02
1.391009353414941188e+03 1.878457581171638139e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.643200000000000045e+03 1.291642814606355500e+02
3.792000000000001023e+02 1.896000000000000227e+03 7.320000000000000284e+01
6.320000000000001137e+02 1.896000000000000000e+03 1.291642814606355500e+02
8.860187068298828308e+02 1.896000000000000000e+03 7.320000000000000284e+01
1.643200000000000045e+03 1.896000000000000000e+03 1.291642814606355500e+02
1.896000000000000000e+03 1.896000000000000000e+03 7.320000000000000284e+01
