# turbineX, turbineY, turbineZ
3.792000000000001023e+02 3.792000000000000455e+02 1.317267142863668994e+02
3.792000000000000455e+02 6.320000000000001137e+02 1.317267142863668994e+02
6.394194461671447698e+02 3.791999999999999886e+02 1.317267142863668994e+02
1.402652313363193798e+03 3.792000000000000455e+02 1.317267142863668994e+02
1.896000000000000000e+03 3.792000000000002728e+02 1.317267142863668994e+02
3.792000000000000455e+02 1.042571072845828667e+03 1.317267142863668994e+02
1.437723807243395868e+03 6.500551229865430969e+02 1.317267142863668994e+02
9.604029358850751805e+02 3.792000000000001023e+02 1.317267142863668994e+02
1.002168156391815842e+03 7.969753629083535316e+02 1.317267142863668994e+02
1.896000000000000000e+03 6.320000000000002274e+02 1.317267142863668994e+02
3.792000000000001023e+02 1.390400000000000091e+03 1.317267142863668994e+02
6.317787080300086018e+02 1.031995506238223243e+03 1.317267142863668994e+02
1.895999999999999773e+03 9.016589111773945433e+02 1.317267142863668994e+02
1.448413895817295270e+03 1.102072235208146594e+03 1.317267142863668994e+02
1.896000000000000000e+03 1.296839689939010668e+03 1.317267142863668994e+02
3.792000000000003297e+02 1.643200000000000045e+03 1.317267142863668994e+02
7.922248464723430743e+02 1.615294501466478550e+03 1.317267142863668994e+02
1.508584570310398476e+03 1.581600152493635505e+03 1.317267142863668994e+02
1.545095244710367751e+03 1.895999999999999773e+03 1.317267142863668994e+02
1.895999999999999773e+03 1.615592428190686633e+03 1.317267142863668994e+02
3.792000000000002728e+02 1.896000000000000000e+03 1.317267142863668994e+02
8.532549313774397888e+02 1.895999999999999773e+03 1.317267142863668994e+02
1.137449505066036409e+03 1.422789757644064821e+03 1.317267142863668994e+02
1.244353025421287612e+03 1.896000000000000000e+03 1.317267142863668994e+02
1.896000000000000000e+03 1.896000000000000000e+03 1.317267142863668994e+02
