# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.791999999999999886e+02 7.320000000000000284e+01
6.320000000000001137e+02 3.792000000000000455e+02 1.308899585834577124e+02
1.023162202142790647e+03 3.791999999999999318e+02 7.320000000000000284e+01
1.643199999999999818e+03 3.792000000000001023e+02 1.308899585834577124e+02
1.895999999999999773e+03 3.792000000000001023e+02 7.320000000000000284e+01
3.792000000000001023e+02 7.231322674622331306e+02 1.308899585834577124e+02
7.145358312091091193e+02 8.332602011860960829e+02 7.320000000000000284e+01
1.317213396706189542e+03 4.435604630978197065e+02 1.308899585834577124e+02
1.717268277825204905e+03 6.209059157315355151e+02 7.320000000000000284e+01
1.896000000000000227e+03 9.640962955229746285e+02 1.308899585834577124e+02
3.792000000000001023e+02 9.982512092611931394e+02 7.320000000000000284e+01
8.354743676265470640e+02 1.164443022683193476e+03 1.308899585834577124e+02
1.085244732268263988e+03 7.956767918365571859e+02 7.320000000000000284e+01
1.592367063937098465e+03 1.150352962567518489e+03 1.308899585834577124e+02
1.896000000000000000e+03 1.246254570995848781e+03 7.320000000000000284e+01
3.791999999999999886e+02 1.251051209261192980e+03 1.308899585834577124e+02
3.951834809282266860e+02 1.503345423165459351e+03 7.320000000000000284e+01
1.037454384320433974e+03 1.896000000000000000e+03 1.308899585834577124e+02
1.579818357066244744e+03 1.482124856655161238e+03 7.320000000000000284e+01
1.896000000000000000e+03 1.643200000000000045e+03 1.308899585834577124e+02
3.791999999999999886e+02 1.896000000000000000e+03 7.320000000000000284e+01
6.320000000000000000e+02 1.896000000000000000e+03 1.308899585834577124e+02
1.290254384320433928e+03 1.896000000000000000e+03 7.320000000000000284e+01
1.578145087097369469e+03 1.896000000000000000e+03 1.308899585834577124e+02
1.895999999999999773e+03 1.896000000000000000e+03 7.320000000000000284e+01
