# turbineX, turbineY, turbineZ
3.792000000000000455e+02 3.792000000000001023e+02 9.000000000000000000e+01
6.449669223113053249e+02 3.792000000000000455e+02 9.000000000000000000e+01
9.039984749670438759e+02 3.792000000000000455e+02 9.000000000000000000e+01
1.543406403474980607e+03 3.792000000000000455e+02 9.000000000000000000e+01
1.896000000000000000e+03 3.792000000000000455e+02 9.000000000000000000e+01
3.792000000000000455e+02 6.957307884777607114e+02 9.000000000000000000e+01
6.789524582531461192e+02 7.914981089245786734e+02 9.000000000000000000e+01
1.156798474967043830e+03 3.792000000000000455e+02 9.000000000000000000e+01
1.626164530122324322e+03 6.549477898549109796e+02 9.000000000000000000e+01
1.896000000000000000e+03 6.320000000000001137e+02 9.000000000000000000e+01
3.792000000000001023e+02 1.161503460571375854e+03 9.000000000000000000e+01
6.312349260552224450e+02 1.141850571498075851e+03 9.000000000000000000e+01
1.893263214156920185e+03 1.092582951244329024e+03 9.000000000000000000e+01
1.338411623808252671e+03 1.179804896883055562e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.351881378279085311e+03 9.000000000000000000e+01
3.792000000000000455e+02 1.643200000000000045e+03 9.000000000000000000e+01
6.800017028418624250e+02 1.615780637456475688e+03 9.000000000000000000e+01
1.033991408284482532e+03 1.895999999999999773e+03 9.000000000000000000e+01
1.518278655384387321e+03 1.636462030071410709e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.630518644128673031e+03 9.000000000000000000e+01
3.792000000000000455e+02 1.896000000000000000e+03 9.000000000000000000e+01
7.616302217923470153e+02 1.895999999999999773e+03 9.000000000000000000e+01
1.286791408284482486e+03 1.896000000000000000e+03 9.000000000000000000e+01
1.539591408284482441e+03 1.896000000000000000e+03 9.000000000000000000e+01
1.896000000000000000e+03 1.896000000000000000e+03 9.000000000000000000e+01
