# turbineX, turbineY, turbineZ
5.509503185342679217e+02 3.792000000603527496e+02 9.673990886522054211e+01
8.705358797453733359e+02 4.997788680924522282e+02 7.320000006591259023e+01
1.273277961000553887e+03 3.792000000009501264e+02 9.673990886522054211e+01
1.590407893904411139e+03 4.446550981741835358e+02 7.320000006591259023e+01
1.815865257179315904e+03 5.590090129106665700e+02 9.673990886522054211e+01
4.416914991572945155e+02 6.348368463468276559e+02 7.320000006591259023e+01
6.795660217285683302e+02 7.600367115699137912e+02 9.673990886522054211e+01
1.001151290482304489e+03 8.300401159526046513e+02 7.320000006591259023e+01
1.402880320711507693e+03 6.901892996224028138e+02 9.673990886522054211e+01
1.713963432824873507e+03 9.507532107987066183e+02 7.320000006591259023e+01
3.792000000056629574e+02 9.256703221851454373e+02 9.673990886522054211e+01
8.074473706267446005e+02 1.237054357417600841e+03 7.320000006591259023e+01
1.118757925242944339e+03 1.053817953023434029e+03 9.673990886522054211e+01
1.476121209509645041e+03 1.140039853441018067e+03 7.320000006591259023e+01
1.895999999976634626e+03 1.305029471561415903e+03 9.673990886522054211e+01
4.947425342207520771e+02 1.370531023480402382e+03 7.320000006591259023e+01
7.411170757182234183e+02 1.586981735726046509e+03 9.673990886522054211e+01
1.223874327729420429e+03 1.442570297511700119e+03 7.320000006591259023e+01
1.552787900458586364e+03 1.521357887053516151e+03 9.673990886522054211e+01
1.791201862659335575e+03 1.641163375404921453e+03 7.320000006591259023e+01
3.792000000791639991e+02 1.717821598153754394e+03 9.673990886522054211e+01
6.229466680150243292e+02 1.829646388241097839e+03 7.320000006591259023e+01
9.279157899939887102e+02 1.895999999952098051e+03 9.673990886522054211e+01
1.361932372042951329e+03 1.775703508128938665e+03 7.320000006591259023e+01
1.675155341875078193e+03 1.895999999929310206e+03 9.673990886522054211e+01
