# turbineX, turbineY, turbineZ
3.792000000000001023e+02 3.791999999999999886e+02 8.557260463771635273e+01
7.054538360985380905e+02 3.792000000000000455e+02 1.385259514541601789e+02
9.582538360985381587e+02 3.791999999999999318e+02 8.557260463771635273e+01
1.500910981282246212e+03 3.792000000000001023e+02 1.385259514541601789e+02
1.896000000000000000e+03 3.792000000000000455e+02 8.557260463771635273e+01
3.792000000000000455e+02 6.320000000000000000e+02 1.385259514541601789e+02
7.487156879276411701e+02 6.282707934080917767e+02 8.557260463771635273e+01
1.206333952519931472e+03 4.278219975759447493e+02 1.385259514541601789e+02
1.560594412398959321e+03 6.248538197131646257e+02 8.557260463771635273e+01
1.896000000000000000e+03 6.320000000000000000e+02 1.385259514541601789e+02
3.791999999999999886e+02 1.029496583683679319e+03 8.557260463771635273e+01
6.912297735809577262e+02 1.162730362351665462e+03 1.385259514541601789e+02
9.628476511071776258e+02 1.186881537120387520e+03 8.557260463771635273e+01
1.565081382323247226e+03 1.079267307102199766e+03 1.385259514541601789e+02
1.896000000000000227e+03 1.263731170748716977e+03 8.557260463771635273e+01
3.791999999999999886e+02 1.282296583683679046e+03 1.385259514541601789e+02
4.221932232074059357e+02 1.531413874306487969e+03 8.557260463771635273e+01
1.072256849975206933e+03 1.896000000000000000e+03 1.385259514541601789e+02
1.600616501552664658e+03 1.498442188041545251e+03 8.557260463771635273e+01
1.896000000000000227e+03 1.643200000000000045e+03 1.385259514541601789e+02
3.792000000000000455e+02 1.896000000000000000e+03 8.557260463771635273e+01
6.320000000000000000e+02 1.896000000000000000e+03 1.385259514541601789e+02
1.325056849975207115e+03 1.895999999999999773e+03 8.557260463771635273e+01
1.577856849975206842e+03 1.895999999999999773e+03 1.385259514541601789e+02
1.896000000000000000e+03 1.896000000000000000e+03 8.557260463771635273e+01
