# turbineX, turbineY, turbineZ
3.791999999999999886e+02 3.792000000000002160e+02 1.325330076368036316e+02
6.320000000000000000e+02 3.791999999999998749e+02 1.325330076368036316e+02
1.088118793072648941e+03 3.792000000000000455e+02 1.325330076368036316e+02
1.643200000000000045e+03 3.791999999999999886e+02 1.325330076368036316e+02
1.896000000000000000e+03 3.791999999999999318e+02 1.325330076368036316e+02
3.792000000000003297e+02 7.769834670030046482e+02 1.325330076368036316e+02
1.112523777535581303e+03 6.308192363095180326e+02 1.325330076368036316e+02
1.340918793072648896e+03 3.792000000000000455e+02 1.325330076368036316e+02
1.737882827201893861e+03 6.135992571278202377e+02 1.325330076368036316e+02
1.859258328215135634e+03 8.861468170688120836e+02 1.325330076368036316e+02
6.563151427961595346e+02 7.778844265691652708e+02 1.325330076368036316e+02
6.318464416088492044e+02 1.246456402402781578e+03 1.325330076368036316e+02
1.251521978790487083e+03 1.256371993151735751e+03 1.325330076368036316e+02
1.879218646233027130e+03 1.138157584162961484e+03 1.325330076368036316e+02
1.896000000000000227e+03 1.390400000000000091e+03 1.325330076368036316e+02
3.792000000000001592e+02 1.255266446547084115e+03 1.325330076368036316e+02
5.741101165894974656e+02 1.649917490616826626e+03 1.325330076368036316e+02
1.264960433101730587e+03 1.644984213411448991e+03 1.325330076368036316e+02
1.643200000000000045e+03 1.896000000000000000e+03 1.325330076368036316e+02
1.895999999999999773e+03 1.643200000000000045e+03 1.325330076368036316e+02
3.792000000000000455e+02 1.896000000000000227e+03 1.325330076368036316e+02
6.320000000000001137e+02 1.896000000000000000e+03 1.325330076368036316e+02
1.023739976129246429e+03 1.896000000000000000e+03 1.325330076368036316e+02
1.294942394529340618e+03 1.896000000000000000e+03 1.325330076368036316e+02
1.896000000000000000e+03 1.896000000000000000e+03 1.325330076368036316e+02
