# turbineX, turbineY, turbineZ
5.687999999999998408e+02 5.688000000000000682e+02 1.254737189967974871e+02
9.116711759568399884e+02 5.688000000000000682e+02 7.320000000000000284e+01
1.529087228404477401e+03 5.688000000000000682e+02 1.254737189967974871e+02
2.340016661169191138e+03 5.687999999999998408e+02 7.320000000000000284e+01
2.844000000000000000e+03 5.688000000000000682e+02 1.254737189967974871e+02
5.687999999999999545e+02 1.143833959469715865e+03 7.320000000000000284e+01
8.981767583382285238e+02 1.127644261364700697e+03 1.254737189967974871e+02
1.576523857122579784e+03 9.400633852598459725e+02 7.320000000000000284e+01
2.400518194781738202e+03 8.667887031037874976e+02 1.254737189967974871e+02
2.844000000000000000e+03 8.706536448297712241e+02 7.320000000000000284e+01
5.688000000000000682e+02 2.194410083267348000e+03 1.254737189967974871e+02
9.881840404149357937e+02 1.962224142377101771e+03 7.320000000000000284e+01
1.664553435806802327e+03 1.626181712035086548e+03 1.254737189967974871e+02
2.643289072431894056e+03 1.663883432535221573e+03 7.320000000000000284e+01
2.844000000000000000e+03 1.510185734776261143e+03 1.254737189967974871e+02
5.688000000000000682e+02 2.574140724224055248e+03 7.320000000000000284e+01
1.117324881328628180e+03 2.438380776447089374e+03 1.254737189967974871e+02
1.742579090561052226e+03 2.310850088066376429e+03 7.320000000000000284e+01
2.548355446417611802e+03 2.347999501392146158e+03 1.254737189967974871e+02
2.844000000000000000e+03 2.301823248620776667e+03 7.320000000000000284e+01
5.688000000000000682e+02 2.844000000000000000e+03 1.254737189967974871e+02
1.186930543039691656e+03 2.844000000000000000e+03 7.320000000000000284e+01
1.855914182403014820e+03 2.844000000000000000e+03 1.254737189967974871e+02
2.509020108566465296e+03 2.844000000000000000e+03 7.320000000000000284e+01
2.844000000000000000e+03 2.844000000000000000e+03 1.254737189967974871e+02
