# turbineX, turbineY, turbineZ
6.676763898907314569e+02 7.538170401262246969e+02 7.831117585443816154e+01
9.908504413275800289e+02 7.174924659038929349e+02 7.351133206719731561e+01
1.502618677416041464e+03 7.790955744279634700e+02 7.831117585443816154e+01
1.849876724421964354e+03 7.116974876754527486e+02 7.351133206719731561e+01
2.307103087540895103e+03 9.034595488670178156e+02 7.831117585443816154e+01
8.060509314244259258e+02 1.498850982678197170e+03 7.351133206719731561e+01
1.038279155367297335e+03 1.072640262280859133e+03 7.831117585443816154e+01
1.416146573158658157e+03 1.265804660670665498e+03 7.351133206719731561e+01
1.760320740641403290e+03 1.090125081275107505e+03 7.831117585443816154e+01
2.433977397658445170e+03 1.445303838746703150e+03 7.351133206719731561e+01
8.876196679081622278e+02 1.832013165918306413e+03 7.831117585443816154e+01
1.216505725716521965e+03 1.694817999192943034e+03 7.351133206719731561e+01
1.594455117315928419e+03 1.730165435425186388e+03 7.831117585443816154e+01
1.837282991927043213e+03 1.460438345481593387e+03 7.351133206719731561e+01
2.765514764756036129e+03 1.548824425780049296e+03 7.831117585443816154e+01
9.209252326459313736e+02 2.189177465021291027e+03 7.351133206719731561e+01
1.304068601111021280e+03 2.076138299444382938e+03 7.831117585443816154e+01
1.988581612903398991e+03 2.125816462905257595e+03 7.351133206719731561e+01
2.632581210797605308e+03 2.109313848645337202e+03 7.831117585443816154e+01
3.031426401739690846e+03 1.830749941407099641e+03 7.351133206719731561e+01
8.069378542513908315e+02 2.776808520683101051e+03 7.831117585443816154e+01
1.128052582495721481e+03 2.879705926651922255e+03 7.351133206719731561e+01
1.550355635766515888e+03 2.867778209415037509e+03 7.831117585443816154e+01
1.697880775721006330e+03 2.504419414763174245e+03 7.351133206719731561e+01
2.223558769018966814e+03 2.778348513711671785e+03 7.831117585443816154e+01
