# turbineX, turbineY, turbineZ
5.687999999999999545e+02 5.688000000000000682e+02 9.000000000000000000e+01
1.073511371429961855e+03 5.688000000000000682e+02 9.000000000000000000e+01
1.780504175747294084e+03 5.688000000000000682e+02 9.000000000000000000e+01
2.339884530759631616e+03 5.750017732264326469e+02 9.000000000000000000e+01
2.844000000000000000e+03 5.688000000000000682e+02 9.000000000000000000e+01
5.688000000000000682e+02 1.173121313282439132e+03 9.000000000000000000e+01
1.116800346635629012e+03 9.331225279513405440e+02 9.000000000000000000e+01
1.534577539665282757e+03 6.273485277444447092e+02 9.000000000000000000e+01
2.428949051786587461e+03 1.008309448500185567e+03 9.000000000000000000e+01
2.844000000000000000e+03 8.513298644754853512e+02 9.000000000000000000e+01
5.767583822307300352e+02 1.560174275695852884e+03 9.000000000000000000e+01
1.165721712303779668e+03 1.569478331500284867e+03 9.000000000000000000e+01
1.665252779146285775e+03 1.571144236045382740e+03 9.000000000000000000e+01
2.440895762851894688e+03 1.698187286093410648e+03 9.000000000000000000e+01
2.844000000000000000e+03 1.703056619382253984e+03 9.000000000000000000e+01
5.688000000000001819e+02 2.468196760844046821e+03 9.000000000000000000e+01
1.013715265169602162e+03 2.477567448990536377e+03 9.000000000000000000e+01
1.622612341951541111e+03 2.522000823645343189e+03 9.000000000000000000e+01
2.314074531906238917e+03 2.494542108203191219e+03 9.000000000000000000e+01
2.834537638443358446e+03 2.357655441495884133e+03 9.000000000000000000e+01
5.688000000000002956e+02 2.844000000000000000e+03 9.000000000000000000e+01
1.074472714191599607e+03 2.844000000000000000e+03 9.000000000000000000e+01
1.669504956877420909e+03 2.844000000000000000e+03 9.000000000000000000e+01
2.342320923604926520e+03 2.844000000000000000e+03 9.000000000000000000e+01
2.844000000000000000e+03 2.844000000000000000e+03 9.000000000000000000e+01
