# turbineX, turbineY, turbineZ
7.584000000000000909e+02 7.584000000000000909e+02 9.000000000000000000e+01
1.516800000000000182e+03 7.584000000000000909e+02 9.000000000000000000e+01
2.275199999999999818e+03 7.584000000000000909e+02 9.000000000000000000e+01
3.033599999999999909e+03 7.584000000000000909e+02 9.000000000000000000e+01
3.792000000000000000e+03 7.584000000000000909e+02 9.000000000000000000e+01
7.584000000000000909e+02 1.516800000000000182e+03 9.000000000000000000e+01
1.516800000000000182e+03 1.516800000000000182e+03 9.000000000000000000e+01
2.275199999999999818e+03 1.516800000000000182e+03 9.000000000000000000e+01
3.033599999999999909e+03 1.516800000000000182e+03 9.000000000000000000e+01
3.792000000000000000e+03 1.516800000000000182e+03 9.000000000000000000e+01
7.584000000000000909e+02 2.275199999999999818e+03 9.000000000000000000e+01
1.516800000000000182e+03 2.275199999999999818e+03 9.000000000000000000e+01
2.275199999999999818e+03 2.275199999999999818e+03 9.000000000000000000e+01
3.033599999999999909e+03 2.275199999999999818e+03 9.000000000000000000e+01
3.792000000000000000e+03 2.275199999999999818e+03 9.000000000000000000e+01
7.584000000000000909e+02 3.033599999999999909e+03 9.000000000000000000e+01
1.516800000000000182e+03 3.033599999999999909e+03 9.000000000000000000e+01
2.275199999999999818e+03 3.033599999999999909e+03 9.000000000000000000e+01
3.033599999999999909e+03 3.033599999999999909e+03 9.000000000000000000e+01
3.792000000000000000e+03 3.033599999999999909e+03 9.000000000000000000e+01
7.584000000000000909e+02 3.792000000000000000e+03 9.000000000000000000e+01
1.516800000000000182e+03 3.792000000000000000e+03 9.000000000000000000e+01
2.275199999999999818e+03 3.792000000000000000e+03 9.000000000000000000e+01
3.033599999999999909e+03 3.792000000000000000e+03 9.000000000000000000e+01
3.792000000000000000e+03 3.792000000000000000e+03 9.000000000000000000e+01
