# turbineX, turbineY, turbineZ
4.424361733099781873e+02 8.596119673638719405e+02 1.355853307798751644e+02
1.011414752824320885e+03 4.463169561373545662e+02 8.758667628399102512e+01
1.644863037212984182e+03 7.589473256392453777e+02 1.355853307798751644e+02
1.959268543165792153e+03 4.424000108112036287e+02 8.758667628399102512e+01
2.211999967016076880e+03 4.518222197721078714e+02 1.355853307798751644e+02
4.424000000000000909e+02 1.112412006215487509e+03 8.758667628399102512e+01
4.424000111664549877e+02 6.068119108490237750e+02 1.355853307798751644e+02
1.742226913537047722e+03 1.090787242390784741e+03 8.758667628399102512e+01
1.964409603504742336e+03 6.965962084177975839e+02 1.355853307798751644e+02
2.209461415988234876e+03 7.615332308981035112e+02 8.758667628399102512e+01
4.427132014009211503e+02 1.706400008649833126e+03 1.355853307798751644e+02
6.951747916165257948e+02 6.113654597025800967e+02 8.758667628399102512e+01
1.029997228973809115e+03 6.984419651065499011e+02 1.355853307798751644e+02
2.013755673246581637e+03 9.453831494858083033e+02 8.758667628399102512e+01
2.203691717657345635e+03 1.510263119453344189e+03 1.355853307798751644e+02
4.424001426957088370e+02 1.959199999980385428e+03 8.758667628399102512e+01
9.683966799922279733e+02 1.961205693054837639e+03 1.355853307798751644e+02
1.470513971913326941e+03 1.957727511816807464e+03 8.758667628399102512e+01
1.958897842003784035e+03 1.782922041706549180e+03 1.355853307798751644e+02
2.210950888921130627e+03 1.763021657790273593e+03 8.758667628399102512e+01
4.424637299115285032e+02 2.212000000000000000e+03 1.355853307798751644e+02
1.012178566024264569e+03 2.210225378317777995e+03 8.758667628399102512e+01
1.490111146983046638e+03 2.209776469899075437e+03 1.355853307798751644e+02
1.958560758163986748e+03 2.211988828817853118e+03 8.758667628399102512e+01
2.211361233868776253e+03 2.211999963847959862e+03 1.355853307798751644e+02
