# turbineX, turbineY, turbineZ
7.434735362994094885e+02 7.431190960046958480e+02 1.152747692649764559e+02
1.180502860532239310e+03 7.325735724984507442e+02 7.839361490047859604e+01
1.627080063270509754e+03 7.431374666051359554e+02 1.152747692649764559e+02
2.136007630258277004e+03 7.453835539619569772e+02 7.839361490047859604e+01
2.707422157235187569e+03 7.399791361135120269e+02 1.152747692649764559e+02
7.418244924342999411e+02 1.180595124573118028e+03 7.839361490047859604e+01
1.180340598119579454e+03 1.222631111545627846e+03 1.152747692649764559e+02
1.624758854822822059e+03 1.184979174637138158e+03 7.839361490047859604e+01
2.178193980484484200e+03 1.183658234929105674e+03 1.152747692649764559e+02
2.768529366711180501e+03 1.177608196782701270e+03 7.839361490047859604e+01
7.394645877446123450e+02 1.631107983250382631e+03 1.152747692649764559e+02
1.182207472992705561e+03 1.686407216420888517e+03 7.839361490047859604e+01
1.633595266653740055e+03 1.625495425218480250e+03 1.152747692649764559e+02
2.209426047062248927e+03 1.632328233274551621e+03 7.839361490047859604e+01
2.921827187151794078e+03 1.607582059600741559e+03 1.152747692649764559e+02
7.379858323737545334e+02 2.098042391068620418e+03 7.839361490047859604e+01
1.177438081745574664e+03 2.187699009254127304e+03 1.152747692649764559e+02
1.627477859175397953e+03 2.199189745047759970e+03 7.839361490047859604e+01
2.171259902458307806e+03 2.147490923221936100e+03 1.152747692649764559e+02
2.788114317282744651e+03 2.154802296968723567e+03 7.839361490047859604e+01
7.367614591279294700e+02 2.706644706141253209e+03 1.152747692649764559e+02
1.168404250146552386e+03 2.803693498902554893e+03 7.839361490047859604e+01
1.622653778986496718e+03 2.817333908826808511e+03 1.152747692649764559e+02
2.197079427385364397e+03 2.756698159643607141e+03 7.839361490047859604e+01
2.761149246991973541e+03 2.702228305186671605e+03 1.152747692649764559e+02
