# turbineX, turbineY, turbineZ
1.833972023460151831e+03 8.954648613363000322e+02 1.150614602664826123e+02
6.344619297908794806e+02 9.280755724857240239e+02 7.320000000000000284e+01
1.111612681066595542e+03 1.864694061334249682e+03 1.150614602664826123e+02
1.584463665166958435e+03 1.841614195732016469e+03 7.320000000000000284e+01
1.364360950421416874e+03 1.535103087021302372e+03 1.150614602664826123e+02
1.542488844380799719e+03 2.296091870538128205e+03 7.320000000000000284e+01
1.864308992479179096e+03 2.062062115967673435e+03 1.150614602664826123e+02
1.322729288777647525e+03 2.613327545740466576e+03 7.320000000000000284e+01
1.169086581490337267e+03 2.220736585370436387e+03 1.150614602664826123e+02
1.837232580408693821e+03 2.443475128551618582e+03 7.320000000000000284e+01
2.168245759270040708e+03 2.357798232938484489e+03 1.150614602664826123e+02
2.177261996211656424e+03 1.980732607781192883e+03 7.320000000000000284e+01
1.630172105068345445e+03 2.639590908995782229e+03 1.150614602664826123e+02
1.692176864093635913e+03 1.467306881938974811e+03 7.320000000000000284e+01
1.990769624611782319e+03 1.546395336100637451e+03 1.150614602664826123e+02
2.838021103178135490e+03 1.851671098112027266e+03 7.320000000000000284e+01
3.155595995354713523e+03 1.414836919946201760e+03 1.150614602664826123e+02
2.935915654190267105e+03 2.492065657927555549e+03 7.320000000000000284e+01
2.792219233316362988e+03 2.204860788169565694e+03 1.150614602664826123e+02
3.052872857005741480e+03 2.169815657945728617e+03 7.320000000000000284e+01
2.568566006951856252e+03 2.768555764165853361e+03 1.150614602664826123e+02
2.974541155753978273e+03 2.751696034640467133e+03 7.320000000000000284e+01
2.199124926289744963e+03 2.740115566871208102e+03 1.150614602664826123e+02
1.966717022893132480e+03 2.958955954852300238e+03 7.320000000000000284e+01
2.626184240293539915e+03 3.154006037828905392e+03 1.150614602664826123e+02
