# turbineX, turbineY, turbineZ
6.320000000000000000e+02 6.320000000000000000e+02 1.175507443864194244e+02
1.262642494001734576e+03 6.320000000000000000e+02 1.175507443864194244e+02
1.909997743069429589e+03 6.320000000000000000e+02 1.175507443864194244e+02
2.547310355093943144e+03 6.320000000000000000e+02 1.175507443864194244e+02
3.160000000000000000e+03 6.320000000000000000e+02 1.175507443864194244e+02
6.320000000000000000e+02 1.255087872482556804e+03 7.320000000000000284e+01
1.268291687002753633e+03 1.267929387214089729e+03 7.320000000000000284e+01
1.913457482409325166e+03 1.250830849965755760e+03 7.320000000000000284e+01
2.552365778996874269e+03 1.256646656141191215e+03 7.320000000000000284e+01
3.160000000000000000e+03 1.268952548654298198e+03 7.320000000000000284e+01
6.320000000000000000e+02 1.901334976208999024e+03 1.175507443864194244e+02
1.258620295422030267e+03 1.917717859553799144e+03 1.175507443864194244e+02
1.913937194166537665e+03 1.901689448533092900e+03 1.175507443864194244e+02
2.568921984771436200e+03 1.895085304854546166e+03 1.175507443864194244e+02
3.160000000000000000e+03 1.908922025795680383e+03 1.175507443864194244e+02
6.320000000000000000e+02 2.543526335079008277e+03 7.320000000000000284e+01
1.253438513876756588e+03 2.563772631293666564e+03 7.320000000000000284e+01
1.889918060029187700e+03 2.566038123182040181e+03 7.320000000000000284e+01
2.535822991733002709e+03 2.551783191991028616e+03 7.320000000000000284e+01
3.160000000000000000e+03 2.555028235159864380e+03 7.320000000000000284e+01
6.320000000000000000e+02 3.160000000000000000e+03 1.175507443864194244e+02
1.270142323268922837e+03 3.160000000000000000e+03 1.175507443864194244e+02
1.904633693420599684e+03 3.160000000000000000e+03 1.175507443864194244e+02
2.553896607424901504e+03 3.160000000000000000e+03 1.175507443864194244e+02
3.160000000000000000e+03 3.160000000000000000e+03 1.175507443864194244e+02
