# turbineX, turbineY, turbineZ
6.320000000000000000e+02 6.320000000000000000e+02 1.175507443860000052e+02
1.261794356487835330e+03 6.320000000000000000e+02 1.175507443860000052e+02
1.918743200564479821e+03 6.320000000000000000e+02 1.175507443860000052e+02
2.559375006434574061e+03 6.320000000000000000e+02 1.175507443860000052e+02
3.160000000000000000e+03 6.320000000000000000e+02 1.175507443860000052e+02
6.320000000000000000e+02 1.249519786827056805e+03 7.320000000000000284e+01
1.270973031136481268e+03 1.270384375042625152e+03 7.320000000000000284e+01
1.924364502892846986e+03 1.242603077724246987e+03 7.320000000000000284e+01
2.567588939151622526e+03 1.252052461502475126e+03 7.320000000000000284e+01
3.160000000000000000e+03 1.272046783455830109e+03 7.320000000000000284e+01
6.320000000000000000e+02 1.904668142666011363e+03 1.175507443860000052e+02
1.255259183742154391e+03 1.931286662515044100e+03 1.175507443860000052e+02
1.925143927165267542e+03 1.905244080881296668e+03 1.175507443860000052e+02
2.594489069169012055e+03 1.894513825046992679e+03 1.175507443860000052e+02
3.160000000000000000e+03 1.916995400680869807e+03 1.175507443860000052e+02
6.320000000000000000e+02 2.553226820565409980e+03 7.320000000000000284e+01
1.246839948128174683e+03 2.586122521909112038e+03 7.320000000000000284e+01
1.886118208350359282e+03 2.589803439335508756e+03 7.320000000000000284e+01
2.540710611211783089e+03 2.566642365617983160e+03 7.320000000000000284e+01
3.160000000000000000e+03 2.571914834705547037e+03 7.320000000000000284e+01
6.320000000000000000e+02 3.160000000000000000e+03 1.175507443860000052e+02
1.273979900998617040e+03 3.160000000000000000e+03 1.175507443860000052e+02
1.910027820063776062e+03 3.160000000000000000e+03 1.175507443860000052e+02
2.570076192832144443e+03 3.160000000000000000e+03 1.175507443860000052e+02
3.160000000000000000e+03 3.160000000000000000e+03 1.175507443860000052e+02
